,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
268,CollegeofPolice,We are the professional body for everyone who works for the #police service in England and Wales. Not monitored 24/7.,United Kingdom,1390,47708,9306,1,"A successful coaching &amp; mentoring programme, pioneered by PSA President @Griffindares, which has seen more than 1000 senior leaders trained in coaching and mentoring skills has been formally handed over to the @CollegeofPolice. Read the full story here: 

https://t.co/vkwmziVyL2 https://t.co/qzDGbMZxMF",[]
269,IMDEA_Nano,Institute of Nanoscience of Comunidad de Madrid. Part of the non-profit IMDEA Foundation. Severo Ochoa Centre of Excellence.,Madrid,230,2499,1660,0,"The Research Support Office of @IMDEA_Nano together with @Vitae_news offer a workshop on Professional Development Planning to give researchers tools to manage their research career. 

📅 Thursday December 17th, 10.00 to 13.30h

🖊️ Register now: rso.imdeananociencia@imdea.org https://t.co/dyaFGnSwdE",[]
270,OurProgressive,#Policy #Law #Science #Environment #Nonprofit #Resist #Knowledge #Diversity #Equality @LiberalResist @UCBerkeley https://t.co/eAlJ8TP5aL,"San Francisco, CA",40075,42370,46233,0,Fox News’ Geraldo Rivera Tells Donald Trump In No Uncertain Terms: ‘Understand It Is Over’ https://t.co/NQXZAVNKyi https://t.co/U0BQkAd9Zd,[]
271,PrimeWebSpace,"Affordable, Targeted, Exclusive..Online Advertising: https://t.co/jlqPVzt069. Enterpreneur and Online Marketer, see: https://t.co/OlIh35xsn2",South Africa,252,295,868,0,"Yes, a $600 Billion demand WILL increase the Bitcoin price!
Get and GROW yours now:
https://t.co/Q2NxC4uui2 

JPMorgan Sees $600 Billion Demand for Bitcoin From Global Institutional Adoption https://t.co/y6iew6qqGe via @BTCTN",[]
272,lovefordobby,"🌸 : #treasure
      🏵 : #seventeen
                            🍊 : #treasuremonsterrookies      
                                 🦄 : architecture&art | ph",som's tiny wings,427,398,7018,397,"TREASURE will sing an ending theme song for TV Tokyo anime ‘Black Clover’. The title of the song will be ‘Beautiful’.

Source: https://t.co/9CWlMdhg7C

@treasuremembers #TREASURE",[]
273,FirstCymru,Official First Cymru buses Ltd. Twitter account. We love reading your Tweets and are here 7am-7pm Mon-Fri and 9am-5pm on weekends and bank holidays to help.’,Swansea,344,7885,25978,0,"@SamElliott82 @SamElliott82 Hi Sam. Apologies, here is the link to the Christmas information: https://t.co/8QVwQ1KiZE. It will allow you to see which services are running early and which are normal on Christmas Eve. Thank you! ^CR",[]
274,NurseinPractice,"Delivering a magazine, website and events with cutting-edge clinical articles, Nursing in Practice is a key resource for today's primary care #nurses.",London,1872,14899,8758,0,"BME groups faced a ‘triple whammy of threats’ to their finances, mental health and virus risk during the Covid-19 pandemic, a report has found.

https://t.co/7mmRqG8qsK",[]
275,LesleyLudlow36,"Counsellor, supervisor, writer and netwk grp facilitator. Providing long and short term therapy to adults.CURRENTLY ONLINE. Chair BACP PP Exec Comm.",Croydon,608,514,1796,3,"I had heard about this before, but it's great to be reminded - dialling 55 when calling 999 tells the services you need help but can't say anything. #domesticeabuse #domesticviolence #silentsolution https://t.co/duusPTqjYA",[]
276,RobPooley1976,"Football coach @ Wisbech St Mary’s Sunday U18s, major LCFC fan, Italia 90 was it... 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽️","United Kingdom, March, Cambs ",2851,1316,10688,159,Share on Twitter https://t.co/vTmOMmV1wR,[]
277,ItsSakshii,I luv d straight forward people's & jsT hate stalker's.....🥰💓,,359,733,10887,661,"#BrokenButBeautiful3 will talk about a theatre director Agastya played by @SidharthShukla and his love story with Rumi being essayed by @SoniaRathee8.

#JustBinge | @ZEE5Premium  | @altbalaji |  @ektakapoor | 

https://t.co/sAqrprARU0",['BrokenButBeautiful3']
278,PrivateGordon_,My chill button is about as real as The Lord Jesus Christ | IG: @privategordon | For all inquries: omarigordon7@gmail.com,,348,350,110422,109,The news channels on dec. 21 https://t.co/Vj5FRfsfIj,[]
279,pegg_geoff,Victoria Australia 🇦🇺,"Torquay - Jan Juc, Victoria",152,55,1042,0,"@otlassie @NPRinskeep It’s nearly 9:30pm here in Australia, I’m waiting for the entertainment to start when the clown wakes up from his slumber and finds out the news about Putin congratulating Biden, can’t wait for the Twitter sh*% storm 😂",[]
280,Gerry_Njuguna,I don't believe in being constrained by social hypocrisy. 🇰🇪 🇰🇪,Nairobi,598,169,184,0,@YouthAdvocateKe So that's fake news still,[]
281,GulfNewsSport,"Latest sports news from the UAE, Middle East and all over the world from Gulf News - the region's leading English language newspaper.",United Arab Emirates,767,106352,18247,0,"WATCH: Lewis Hamilton opens up on record-breaking season in Formula One
@gulf_news @Mattjosmith @MercedesAMGF1 #AbuDhabiGP 
https://t.co/ptNinl4LpK",['AbuDhabiGP']
282,Magnus_Moi,"Développeur C/C++, VB/C# .Net, HTML5, JavaScript, PHP, SQL, Perl, LUA Humain parfois ...",La Rochelle,144,154,31887,1,@le_gorafi Fake news,[]
283,fornuften22,,,104,119,37728,0,"Ms Vestager has earned the wrath of President Donald Trump: ""Your tax lady, she really hates the US,"" he is reported to have told her boss, Jean-Claude Juncker.
https://t.co/HseKYLq9QQ",[]
284,kim_95vh,#TAEHYUNG : ᴘᴜʀᴘʟᴇ ɪꜱ ᴛʜᴇ ʟᴀꜱᴛ ᴄᴏʟᴏᴜʀ ᴏꜰ ᴛʜᴇ ʀᴀɪɴʙᴏᴡ ᴄᴏʟᴏᴜʀꜱ. ꜱᴏ ᴍᴇᴀɴꜱ ɪ ᴡɪʟʟ ᴛʀᴜꜱᴛ ᴀɴᴅ ʟᴏᴠᴇ ʏᴏᴜ ꜰᴏʀ ᴀ ʟᴏɴɢ ᴛɪᴍᴇ💜 || 𝐟𝐚𝐧 𝐚𝐜𝐜𝐨𝐮𝐧𝐭, Remember: you're loved♡,1878,1778,11804,987,When they started calling their parents to tell the news that they got a grammy nomination is just 😭 @BTS_twt,[]
285,W59Sharon,Born in 59. Now in 6yrs of forced labour.  #backto60 #wepaidinyoupayout #OneVoice #CrimesOfDWP #animalcruelty #stopthecull  #BanTrophyHunting,,373,334,22003,5,Schools in Greenwich ORDERED to reopen as Gavin Williamson pens furious letter to council https://t.co/lG6f5yQYxV,[]
286,rorythomasb,Local Democracy Reporter covering politics in South Bucks for @bucksfreepress Got a story? Email: rory.butler@newsquest.co.uk Phone: 07780 489 856,"High Wycombe, England",506,527,1500,0,"""Why does he have to hide from us?” https://t.co/FdedVbvHYU",[]
287,TSAWA_,EX Member of the Nigerian Armed Forces | Nigerian Military School (NMS) Ambassador | ARSENAL/BARCA fanatic,Kano,961,1094,26446,0,@NikauAbubakar @bulamabukarti Download bbchausa app and listen to the news yourself,[]
288,saly_only13,มากกว่าคำว่ารัก❤Super Junior❤สัญญาว่าจะจับมือกันตลอดไป/ เอ็นดูเด็กน้อยNCT/1427/#jaeten/ทีมเด็กคิวบ์/#Linho/Wannaone/X1/#seungwooseok/Theboyz/#NEW,,914,58,55423,1996,"[SJ NEWS Ep.3] 슈주 뉴스 3회 

YouTube▶ https://t.co/Mk4Z3HbRZ3
(EN/JP/CN Subtitles provided on YouTube ‘SUPER JUNIOR’ channel) 

#슈퍼주니어 #SUPERJUNIOR #슈주뉴스 #SJ_NEWS https://t.co/W4SdHpa8EH",[]
289,GMB_union,"Building a 21st century union ✊ Winning for members since 1889 🙌 620,000 of us, working every job imaginable 💪 Get us on your side",United Kingdom and Ireland,1299,40172,11258,3,"It's time Ministers listened.

We cannot suffer another decade of poor growth and cuts to services.

At-risk sectors need vital support.

Bold action is required to protect jobs, secure livelihoods - and save industries.

https://t.co/1B8PsN9mpw",[]
290,damkyuties,MULTI | YG STAN | EXO | TBZ | WOODZ,19 | she/her,2138,1639,29618,397,"TREASURE will sing an ending theme song for TV Tokyo anime ‘Black Clover’. The title of the song will be ‘Beautiful’.

Source: https://t.co/9CWlMdhg7C

@treasuremembers #TREASURE",[]
291,SexyIsntSexist,"Evolutionist studying female intrasexual competition. Freelancer @tpostmillennial.
Renaissance woman. Devil's Advocate. Classical liberal. Realist. #aspie",in the coal house,774,10593,692,63,"Sizeable step on the road back to common sense. Training built on the premise we're all internally &amp; eternally racist was hardly ever likely to unify; only to divide. Based on no science or evidence, studies have shown negative consequences. Good riddance.
https://t.co/OBkuEL27WC",[]
292,StiltkinRumple,"Anti-Trump, pro-EU. Oboe, cats 🔸","Marple, England",176,315,47250,47,"In August the @AppgCoronavirus wrote to the PM urging him to adopt a zero-Covid strategy to suppress the virus and reduce the risk of a second wave. The Govt didn't listen.

With the potential for a third spike after Christmas, the PM must learn and adapt.
https://t.co/vaTO5zwOoT",[]
293,ChronicleNUFC,Newcastle United news from @ChronicleLive in Newcastle. See also our Facebook page for #NUFC at https://t.co/d8w7l3gMSX,Newcastle upon Tyne,257,99229,119393,0,"Isaac Hayden picked for Alan Shearer's TOTW. 

https://t.co/p6QNIBDDMV",[]
294,WatchYourRepsSC,Watching our Senators & Reps in and from SC to keep their Constituents informed. #DemCast #DemCastSC,,2506,4425,290540,0,Charleston schools to continue with in-person learning; district considers halti... @postandcourier https://t.co/mkpS3ldOfy,[]
295,john1966olsen,Erly retired old YouTuber and computer gamer. I enjoy life :-)  Socialdemokrat and S-member. #MongoTV #MongoNews #MongoTube #MongoMedia #MongoSpace #MongoDrones,Denmark - Copenhagen North,4983,2440,886094,15,"Vaccinating the entire UK population against #COVID19 could take up to a year, even with no interruptions, leading scientists have said https://t.co/Ep0ABzDMtd",['COVID19']
296,jayeel_cornelio,"sociologist | director, dev studies program @ateneodemanilau | assoc ed, social sciences & missions @BrillPublishing | honorary research associate @CUHKOfficial",Pasig City,552,2829,6124,3,"This gives us reason for cautious optimism. But in seeking accountability for the harms committed in  the PH Govt.'s ""War on Drugs,"" we should not pin all our hopes in a tribunal so many miles away, which can only offer limited redress.  https://t.co/gjIkPLSwDp via @AJEnglish",[]
297,daveinrusholme,"""Alt left fascist beatnik."" Retired Pencil Sharpener, Grade 4. KEEP THE LOCKDOWN. Writing my memoirs, one tweet at a time. Anti-social socialist. #cpfc",Mancunia,2619,620,37792,2,Also this new variant news is making me very anxious. So I relax with the Ugandan covid public alert song: https://t.co/6MywaAD6GE,[]
298,BradMckinley_,Information & Security Analyst||Hacker||IT support👩‍💻||Gamer🎮,United States,73,181,2,16,This is BIG NEWS for #GeorgiaTech and the #GTComputing Community! via @usnews @USNewsEducation https://t.co/3qfNEGTeox,"['GeorgiaTech', 'GTComputing']"
299,AlanGra20521368,,Dunoon,13,5,211,459,"Radio Scotland is asking if the easing of Xmas restrictions in Scotland is too hasty.

At the same time the station is operating a news blackout on Scotland's Covid transmission rate, which is the LOWEST in the UK.

We demand BBC Scotland #EndTheNewsBlackout

RT if you agree.",[]
300,ogeltdm,https://t.co/a1hlCKD9i9 and https://t.co/4eF5UAf0k1,The Netherlands,4000,2941,30080,0,"@CIArb - #Equality, #Diversity and #Inclusion: #CIArb's Strategy for 2021
https://t.co/68h1Lfw0ow

👉ArbitralWomen/TDM Special: Dealing with #Diversity in International #Arbitration
https://t.co/K1qGuOuslj","['Equality', 'Diversity', 'Inclusion', 'CIArb', 'Diversity', 'Arbitration']"
301,RPanomanousss,“Those who cannot remember the past are condemned to repeat it.”  George Santayana,,124,122,36415,1,"@the_resistor @JebBush Jeb Bush needs to do his homework:

Review Rise of Hitler in Germany

Watch Charlie Chaplin's ""The Dictator""

Watch Fox News &amp; OANN for an entire week

Set up Parlor account

Follow Lou Dobbs

Invite Jim Jordan &amp; Lindsey Graham over for Mud Wrestling with Ted Cruz &amp; Newt Gingrich",[]
302,donfacquard,Chef | Poet | Foodie | Geek,"Lagos, Nigeria",186,231,2140,0,"Do you remember when you joined Twitter? I do! #MyTwitterAnniversary

Funny though! Been here for the gists and news... https://t.co/ESlq6UUZVD",['MyTwitterAnniversary']
303,shanebrighton,Helping companies to leverage information and technology for business advantage.,"London, England",4373,8597,63337,0,How Slack helped to support Re:Act’s Covid-19 relief effort https://t.co/rHfG6GJ6SC  #UKGovernment  #PublicSector #IT via ComputerWeekly,"['UKGovernment', 'PublicSector', 'IT']"
304,northsoundnews,Tweeting the latest local news and sport for the North East of Scotland. Hear us @northsound1 @nsound2tweets. DM or email news@northsound.co.uk,"Aberdeen, Scotland",316,6393,31378,0,"There was a 6% increase in deaths in 2019 for Scotland overall - but ten less in Grampian.

https://t.co/JwNjn4WTaf",[]
305,titijojo,,,562,267,241304,6,Russian President Vladimir Putin sends Joe Biden a congratulatory telegram after the Electoral College formalizes his victory https://t.co/Mgx2b4aC63,[]
306,RisseRyden,,,410,111,29472,99,A synthetic palm oil alternative could help save rainforests https://t.co/WBj9JIDDhP,[]
307,fonstuinstra,"President China Speakers Bureau, new media adviser",Brasschaat (BE),886,4188,49444,0,List of Australian businesses with Chinese links leads to 'unfair' abuse at home as trade war rages https://t.co/f4Mw1SZ0gb,[]
308,DAVIDOFFINANCE,Journalist at European Media Union; Founder & CEO at ALEX Inc.; Founder & CEO at KID & Company.,Украина,126,24,1267,10,Oil holds near $47 as investors weigh lockdowns against vaccine https://t.co/ckPA1ZSKY4,[]
309,batrasurendra,"सीधा-सादा राष्ट्रवादी। अंधभक्त नहीं। पर भ्रष्टाचार गद्दार(कांग्रेस) का विरोध।
Simply Nationalist. Follow Modi ji with open minded.",,229,329,77255,275,"Incredible that this hasn't made TV news today: ""In 1972, KGB planted more than 3,500 articles in Indian newspapers."" http://t.co/ljNiIAsKeM",[]
310,daisukeshoe,"💜16🇮🇳(she/her)


anitwt | kpop account - @yeonbinsobs 




follow my art account on insta 🥺💖",,900,692,6564,4030,"That time TXT wore Haikyu!! Sports Uniforms in their New Music Video. ICONIC🔥 #ハイキューの日

🏐 READ: https://t.co/hmmtynyNa9 https://t.co/lePxnh7f6S",['ハイキューの日']
311,CryptoCryptoNe3,"https://t.co/57fbG3FEqT
https://t.co/J49jnwZ9fV

Crypto and Crowdfunding",Planet Crypto ,430,998,292290,0,DeepTradeBot: The innovation of large companies at your service CRYPTO CRYPTO NEWS - https://t.co/ruIMICERyq https://t.co/NcWfAwtZmN,[]
312,La_maestroLagon,Sophisticated,"Pretoria, South Africa",3878,3142,1786,30,"Breaking News

Puplic Protector office under the leadership of Advocate Busisiwe Mkhwebane records clean audit. This is the for first time in 25 years. https://t.co/jdmznm01AE",[]
313,CJAMcMahon,"New book, Psychological Insights for Understanding COVID-19 and Media and Technology is available for pre-order https://t.co/Tp6D94MySb","Dublin, Ireland",2011,3922,36329,1,The Irish Data Protection Commission has fined Twitter aprox 0.01% of its annual revenue https://t.co/fJ4OPQMplN,[]
314,pokeAK101,"First Level 40 in Alaska
                                                 
Keep moving!
Keep grinding!
Never give up!",Alaska,206,22669,12169,0,"❄️Holiday Event = stardust &amp; XP
🍦New Vanillite
✨Shiny Cubchoo
🍬XL candy grind time
🌟5 days of bonuses
📰#PokemonGO news &amp; tips
📽️https://t.co/qPgmZBWJuA https://t.co/lPmqpvIIb3",['PokemonGO']
315,andrew_graeme,Campaigner and pontificator. I work for a human rights organisation and have lots of opinions which in no way reflect on my employer or anyone I've ever met,Glasgow/ London via Edinburgh,2548,2974,34801,0,Christmas bubbles must be axed say medical journals in historic joint plea to PM https://t.co/s0tflWlBHb,[]
316,Emraankking,See.......I m pakistan                      .  Siasat nahi riyasat bachao  @TeamPakZindabad,"Milton, CA/karachi",6923,7194,34415,4,#IndiaExposed india used fake news against Sri Lanka and raised Tamils against their own GOVT https://t.co/vh2Nwvkavp,['IndiaExposed']
317,EdmontonTories,The Edmonton Conservative Association. #BushHillPark #PondersEnd #Jubilee #Haselbury #EdmontonGreen #LowerEdmonton #UpperEdmonton,"Edmonton, London",163,134,1564,28,#APPEAL | Images of a rare pocket watch issued following a theft in #Islington - the watch was originally gifted by the US President Woodrow Wilson. Can you help locate it? Pls call 101 CAD1857/15Dec with info. https://t.co/eRTC9WLonb,"['APPEAL', 'Islington']"
318,BobWillett4,Grump old git who may disagree with anything,"Fortrose, Scotland",1528,1457,49519,15,"The MSM in Scotland needs to wake up and smell the coffee @GeorgeFoulkes asks a simple question NOT ONE OF YOU HAD THE BALLS TO ASK !

Headlines sell News !
Pandering to the SNP media team each day makes you a laughing stock.",[]
319,PostAndShout,Very sarcastic ... or am I? Source of drive-by attempts at humor. Not a wordsmith. Generally considered a factory second.,,97,146,9903,0,@lrozen Timing is everything. Let's keep in mind that the Barr news (whether he resigned or was fired) was released minutes after Biden surpassed 270 electoral votes. Just another attempt by Trump to stay relevant in the news cycle.,[]
320,drumcodeuk,Local Session Manager,,833,575,21759,2,"@Stat_O_Guy Hancock tries to create fear by revealing ""worrying new Covid mutation"".

One problem. In a GLOBAL sample of 46,723 patients, over 12,706 MUTATIONS have been identified - NONE of which appear to increase transmissibility.

Hancock is lying. Again.

https://t.co/VBLMSK2LAb",[]
321,LegalAliensITC,"Female-led International Ensemble | Migrant, Radical, Multilingual |#translation #PoliticalTheatre | FREE theatre classes for migrants/refugees every Monday👇🏽",London,3087,1511,2437,0,LegalAliens Theatre news and greetings! - https://t.co/TNVR9wX9tY https://t.co/zJsfQNAo23,[]
322,sygYoonbin,|| Teume + Binnies || STAY || NCT-zen || Deobi || EXO-L || MyDay ||,Miss Ha Yoonbin 24/7,565,411,16093,398,"TREASURE will sing an ending theme song for TV Tokyo anime ‘Black Clover’. The title of the song will be ‘Beautiful’.

Source: https://t.co/9CWlMdhg7C

@treasuremembers #TREASURE",[]
323,sarwalkies,"Mum with a message. Supporter of the family unit, good education, values, decency and respectful society.",,178,169,2424,315,"Headlines like 'MUTANT COVID' help absolutely nobody and nothing. It's almost like bad news gets more attention.

Changes happen. @BallouxFrancois who is an expert in this field says - 'there is currently no cause for panic.'

I agree with Francois. Caution, not panic.",[]
324,kaydealz,"Hustle, Loyalty n Respect!",+234,450,218,71442,6,Nigeria records 201 new coronavirus infections https://t.co/I333CncGBs,[]
325,shoestring230,"Writer. Atheist, Humanist, Secularist & the occasional One-Off-The-Wrist",I write stories & love science,1138,732,7881,0,"This is good news of course. I'm worried it might still be scuppered by gung ho brexshiteers with a bee in their bonnet about ""Johnny Foreigner telling us we must have standards."" 

https://t.co/jyHNp02m0V",[]
326,Japanese_Lang_,"Japanese Language School ANC in Osaka,near Shin-Osaka. See Japanese Course & Lesson Page.　大阪（新大阪の近く）の日本語教室ＡＮＣです。日本語講座、日本語レッスンページをご覧ください。""",大阪 大阪市 淀川区,1,5460,9750,0,"Samples from asteroid more than hoped for, Japan researchers say - Yahoo News https://t.co/0G14uUQoB6",[]
327,PreeceObserver,"Club Writer, Aston Villa for @birmingham_live | @AVFC_News | ashley.preece@reachplc.com","Great Barr, Birmingham",1448,15492,17274,1,Jack Grealish at Birmingham Mags' this morning - @CarlJackson_LDR with updates as #avfc skipper learns fate after pleading guilty to two separate driving offences https://t.co/ZMRkkclCu7,['avfc']
328,ranjita_bharti,"#SushantOurPride 
JUSTICE FOR SSR 
JUSTICE FOR SSR 
#SushantOurPride",,131,229,27598,109,"https://t.co/a53xyaMnhp

Article dated today 15.12.2020

Excellent news of the day! Kudos @narcoticsbureau  

Bollywood your end has arrive sooner than soon!

#CBIEndSilenceInSSRcase",[]
329,kikiflwr,pushing the minhyuk bf agenda She¡They 🩹 (fan account),read carrd byf,1533,1557,23076,406,"monsta x’s ‘all about luv’ being chosen as one of 2020’s best k-pop albums by time magazine was talked about on SBS morning news !
https://t.co/Y0jxH5o4ly",[]
