,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,DatGladiatah,,,134,14,2226,0,"@TulsiGabbard the biological essentialism of TERFs is so funny to me, because you apparently vouch for equality, but insist at all moments in time you're inferior and unable to compete with ""biological men"". maybe you're just not good at sports bro?",[]
1,EliHayes_,ECU Alumnus 🏴‍☠️ | 910,"North Carolina, USA",84,76,4239,1,mighty funny how nobody in black sports media is standing with Kyrie. y'all really some jokes https://t.co/Z3QRGrWYpk,[]
2,braincelltwo,Taking it well,Art by @sloppjockey,988,4496,54644,0,"Tht time I was put in a gc full of barstool sports type ""funny"" accounts who consistently complained people were stealing their jokes and I'm like... by that measure you have beef with the entire audience of the Call Her Daddy podcast idk what to tell u :/",[]
3,WuanChill,#MCFC #FlyEaglesFly. This is a Anthony Martial hate account 😂,,279,137,17911,1,mighty funny how nobody in black sports media is standing with Kyrie. y'all really some jokes https://t.co/Z3QRGrWYpk,[]
4,schweitz_ay,This guy gets it,,425,57,1027,0,@DanSoder @katienolan that Andre AD read made me swerve my car....so funny #sports?,['sports']
5,Gotown_Rebel,#abs-tribe-experience. Feeding my mental & spiritual on a daily so I can grow into my purpose.,Chicago,1380,246,2964,0,@oCHiCAx I agree. I believe in trans rights 2 but genetically it's not even funny how much of an advantage that gives them in sports &amp; that's completely unfair,[]
6,christinaann23_,baseball!!,she/her • 15 • 🏳️‍🌈,955,488,5171,42,constantly making fun of the wnba and women's sports isn't funny btw,[]
7,TheMomGamePod,"Moms. Sports. And everything in between. If you think this isn't the podcast for you, it probably is. Trust us. Hosted by @emilyjonesmccoy & @julieanndobbs.",,94,1778,313,1,"Funny how things come full circle, @EmilyJonesMcCoy covered Chris Young as a player &amp; tells @JulieAnnDobbs, she's thrilled he's been named the @rangers new GM. #ICYMI @TheMomGamePod streaming on https://t.co/FGhDDU0ala #sports #sportstalk #MLB #moms #momlife https://t.co/XxRsGkYbMI",[]
8,PolarizeRW,16 • CoD Player for  • DMs are open for any sponsorship or affiliate deals • @eUnited,"Iowa, USA",2744,1425,27029,42,constantly making fun of the wnba and women's sports isn't funny btw,[]
9,jedd_18,,,5001,454,18042,3,"Winter sports are funny, especially when you’re getting goofy with it! Luckily with our ice expert Goofy, only good things can happen. Ah-hyuck! ✨❄️

#goofy #iceskating #wintersports #disneycharacters #disneyfriends #winterwonderland #disneyside #disneylandparis #disneyparks https://t.co/9yBjO4wJMn",[]
