,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,SewaAdewumi,"Mofolúwasęwà

sewaadewumi@gmail.com

I am just here for graduate (postgraduate) school chatter and career development tips.",,198,127,1464,30,"An Esthetic Clinic in Lekki, Lagos is looking to hire an entry level nurse. 

Requirements:
• Nursing degree and license 
• Must have completed or be enrolled in NYSC 
• No prior work experience is required, however, interest in esthetics is non-negotiable",[]
1,_ayobola,Prude.,,1005,1201,38188,30,"An Esthetic Clinic in Lekki, Lagos is looking to hire an entry level nurse. 

Requirements:
• Nursing degree and license 
• Must have completed or be enrolled in NYSC 
• No prior work experience is required, however, interest in esthetics is non-negotiable",[]
2,FunkeOnafuye,Product & Marketing | Builder @CV_Loft | Contributor @ElectHER_NG | Underdog | 📧: hello@cvloft.com,"Lagos, Nigeria",2102,49298,221346,30,"An Esthetic Clinic in Lekki, Lagos is looking to hire an entry level nurse. 

Requirements:
• Nursing degree and license 
• Must have completed or be enrolled in NYSC 
• No prior work experience is required, however, interest in esthetics is non-negotiable",[]
3,davidhazony,"Associate Editor, Wicked Son Books. Author of ""The Ten Commandments"" (Scribner, 2010). Along the way, mag editor, PhD. Messaging is the opposite of learning.",Jerusalem,3522,10316,49294,0,"the problem with all these is that they are dreadful esthetic violations. Like getting around the problem of gendered pronouns by calling someone “they,” despite the fact that if there is one thing you know for sure it’s that the individual in question is not plural",[]
4,justnyu94,"hello! I am a kpop enthusiast and love good music. A multifandom, but my top one would be; Orbit & Deobi",Month of The Boyz,325,97,10478,0,omg so much esthetic https://t.co/vve1WUgGjJ,[]
5,caasygjongdae,EXO-L HERE !! .˚ ☄️⌇ #CHEN♡: 我爱你比世界上任何东西 。꒰🌟꒱ . .⃗ . ₍@weareoneEXO₎ ·+˚,,592,578,2900,0,@ketoprakjeno @minejunz @ma_esthetic @jenoneotech @Nananastaaaa @peachyjeff_ @lonjwinwffyou @nxjjaem @xbbyfroz @babynajaemm @_jmjs07 @haysisturr @dalgonalattte @hcmuach @lionleeeee @harujennn @jjdyoi @alvreys @zireneda @clearmarkeu @lostinjaem thank u nder,[]
6,lionleeeee,"🗒❛𝙀𝙓𝙊 𝙒𝘼𝙔𝙑 𝗗𝗥𝗘𝗔𝗠༉‧₊˚✧    

                          read carrd for a better life.",Read this👉🏻,587,469,19443,0,@ketoprakjeno @minejunz @ma_esthetic @jenoneotech @Nananastaaaa @peachyjeff_ @lonjwinwffyou @nxjjaem @xbbyfroz @babynajaemm @_jmjs07 @haysisturr @dalgonalattte @hcmuach @harujennn @jjdyoi @caasygjongdae @alvreys @zireneda @clearmarkeu @lostinjaem Thankssss!!!,[]
7,toreeashleigh,Love G❤️,Ya man is in my DM💁🏽‍♀️,179,125,4598,0,Holy fuck I graduate today!!! Im done with esthetic school💕💕,[]
8,DELFORGEHugo1,,,39,3,28,0,"@CP2077Community This kind of body modifications, purely esthetic but so stylish https://t.co/42X1WNw1vQ",[]
9,ma_esthetic,fangirl✨,,43,0,100,118,"— talking to the moon

 “ at the end, i have to wait untill    thousand years to found you again ”

; jeno au. https://t.co/Bj9vgz6l9L",[]
10,haylee_bouvier,,"Nashville, TN",247,451,20643,0,"Christmas is my absolute favorite holiday, I love everything about it- the music, the lights, the movies, the whole esthetic, I’m obsessed. But it is a holiday supposed to be spent with loved ones and damn it reminds just how lonely I am this time of year 😔",[]
11,FanBTSaranghae,let§ busy with streaming BTS,,189,18,3760,0,The hand n face so esthetic ..... miss him so much https://t.co/yBcTSmC7KI,[]
12,dentalreach9,DentalReach is one of the fastest growing online community for dentists where you can talk dentistry.,"Bengaluru, India",236,239,3026,0,"Catch DRDCA2020 Speaker Dr Nikhil Bahuguna (Noida, India) share his favorite option for solving the esthetic dilemma of empty extraction spaces for short and long term!
Who knew making pontics was so easy? https://t.co/AsZv7MsqHF",[]
13,ChannelDentist,"Digital Marketing Solutions for dental events, product launches, workshops, courses etc. Browse through an array of scientific articles and blogs","Mumbai, India",120,169,702,0,"Thank you, CAMLOG 
The CERALOG® Ceramic Implant System by CAMLOG comes with a two-piece design &amp; enables reversible screw-retained prosthetic solutions, thus offering greater safety and freedom in esthetic restorations. 
@BioHorizonsUK https://t.co/7MiyRDdvxm",[]
14,_StarDustMin_,@BTS_twt only| ♊️ |24|,She/her,297,393,41685,0,"Unfollows real quick. Jimin is just an esthetic to her, doesn’t deserve to draw him. https://t.co/FWSMyVErp3",[]
15,_StarDustMin_,@BTS_twt only| ♊️ |24|,She/her,297,393,41685,0,"@pjmgem @kadis_art I actually followed her because i genuinely like her art.....Jimin is just an esthetic to her, how fucked up. And ofc it had to be a th Stan.",[]
16,gcfkm_,24|mainly jikook| sometimes 🔞 be warned| NO MINORS|,United States,195,175,8081,0,The fact Jimin is only an esthetic to her. She can gtfo. https://t.co/s7sCcpsGtm,[]
